"Index","Date","Material","CAD_Weight","Actual_Weight"
1,"2017-12-29","Neon pink",33,38
2,"2017-12-29","Green",40,43
3,"2017-12-30","Green",20,23
4,"2017-12-30","Green",44,47
5,"2017-12-30","Green",18,19
6,"2017-12-30","Green",3,3
7,"2017-12-31","Green",5,5
8,"2018-01-01","Green",35,37
9,"2018-01-02","Green",19,20
10,"2018-01-03","Green",8,9
11,"2018-01-06","Black",43,45
12,"2018-01-10","Black",48,50
13,"2018-01-17","Black",8,9
14,"2018-01-18","Black",10,11
15,"2018-01-18","Black",14,14
16,"2018-01-21","Black",23,25
17,"2018-01-25","Black",17,19
18,"2018-01-26","Black",21,23
19,"2018-02-01","Black",31,34
20,"2018-02-02","Black",13,14
21,"2018-02-02","Black",19,20
22,"2018-02-02","Black",33,34
23,"2018-02-05","Black",33,35
24,"2018-02-05","Black",19,19
25,"2018-02-05","Black",14,15
26,"2018-02-08","Black",33,35
27,"2018-02-09","Black",21,23
28,"2018-02-09","Black",9,10
29,"2018-02-09","Black",33,34
30,"2018-02-09","Green",65,69
31,"2018-02-12","Green",33,37
32,"2018-02-13","Green",36,39
33,"2018-02-15","Green",26,28
34,"2018-02-16","Green",33,35
35,"2018-02-19","Green",26,28
36,"2018-02-21","Green",26,29
37,"2018-02-21","Green",36,40
38,"2018-02-22","Green",35,38
39,"2018-02-24","Green",36,40
40,"2018-02-24","Green",26,28
41,"2018-02-24","Green",2,2
42,"2018-02-24","Green",29,31
43,"2018-02-27","Green",29,31
44,"2018-02-27","Green",2,2
45,"2018-03-01","Green",49,55
46,"2018-03-03","Magenta",44,50
47,"2018-03-08","Magenta",41,44
48,"2018-04-02","Magenta",43,45
49,"2018-04-15","Magenta",42,48
50,"2018-04-16","Magenta",46,47
51,"2018-04-17","Magenta",2,2
52,"2018-04-18","Magenta",21,23
53,"2018-05-01","Magenta",74,83
54,"2018-05-05","Magenta",43,49
55,"2018-05-11","Red",50,52
56,"2018-05-12","Red",29,31
57,"2018-05-21","Neon pink",46,48
58,"2018-05-21","Magenta",46,49
59,"2018-05-22","Neon blue",19,20
60,"2018-06-23","Neon blue",17,18
61,"2018-06-23","Neon blue",17,18
62,"2018-06-25","Neon blue",42,44
63,"2018-07-01","Neon blue",4,4
64,"2018-07-02","Neon blue",43,46
65,"2018-07-11","Red",83,88
66,"2018-07-12","Neon pink",43,45
67,"2018-07-15","Neon blue",54,58
68,"2018-08-12","Red",42,46
69,"2018-08-16","Red",2,2
70,"2018-11-19","Red",7,8
71,"2018-11-21","Red",7,8
72,"2018-11-21","Red",14,14
73,"2018-12-11","Red",63,66
74,"2018-12-12","Red",56,60
75,"2018-12-13","Red",19,20
76,"2019-03-03","Red",44,48
77,"2019-03-23","Red",19,20
78,"2019-04-20","Red",86,93
79,"2019-04-21","Red",86,94
80,"2019-04-22","Red",86,96
81,"2019-04-23","Red",86,94
82,"2019-04-24","Red",86,94
83,"2019-05-30","Red",88,93
84,"2019-06-08","Red",49,51
85,"2019-06-09","Red",56,64
86,"2019-06-23","Red",84,86
